initial_samples sample height tube remaining_vol
35 22 3.37 1 380.0
35 23 2.99 1 360.0
35 24 2.62 1 340.0
35 25 2.24 1 320.0
35 26 1.87 1 300.0
35 27 1.5 1 280.0
35 28 1.12 1 260.0
35 29 0.75 1 240.0
35 30 0.5 1 220.0
35 31 0.5 1 200.0
35 32 0.5 1 180.0
35 33 0.5 1 160.0
35 34 0.5 1 140.0
35 35 0.5 1 120.0
36 1 11.64 1 822.0
36 2 11.26 1 802.0
36 3 10.89 1 782.0
36 4 10.51 1 762.0
36 5 10.14 1 742.0
36 6 9.77 1 722.0
36 7 9.39 1 702.0
36 8 9.02 1 682.0
36 9 8.64 1 662.0
36 10 8.27 1 642.0
36 11 7.89 1 622.0
36 12 7.52 1 602.0
36 13 7.15 1 582.0
36 14 6.77 1 562.0
36 15 6.4 1 542.0
36 16 6.02 1 522.0
36 17 5.65 1 502.0
36 18 5.28 1 482.0
36 19 4.9 1 462.0
36 20 4.53 1 442.0
36 21 4.15 1 422.0
36 22 3.78 1 402.0
36 23 3.4 1 382.0
36 24 3.03 1 362.0
36 25 2.66 1 342.0
36 26 2.28 1 322.0
36 27 1.91 1 302.0
36 28 1.53 1 282.0
36 29 1.16 1 262.0
36 30 0.79 1 242.0
36 31 0.5 1 222.0
36 32 0.5 1 202.0
36 33 0.5 1 182.0
36 34 0.5 1 162.0
36 35 0.5 1 142.0
36 36 0.5 1 122.0
37 1 12.05 1 844.0
37 2 11.67 1 824.0
37 3 11.3 1 804.0
37 4 10.92 1 784.0
37 5 10.55 1 764.0
37 6 10.18 1 744.0
37 7 9.8 1 724.0
37 8 9.43 1 704.0
37 9 9.05 1 684.0
37 10 8.68 1 664.0
37 11 8.31 1 644.0
37 12 7.93 1 624.0
37 13 7.56 1 604.0
37 14 7.18 1 584.0
37 15 6.81 1 564.0
37 16 6.44 1 544.0
37 17 6.06 1 524.0
37 18 5.69 1 504.0
37 19 5.31 1 484.0
37 20 4.94 1 464.0
37 21 4.56 1 444.0
37 22 4.19 1 424.0
37 23 3.82 1 404.0
37 24 3.44 1 384.0
37 25 3.07 1 364.0
37 26 2.69 1 344.0
37 27 2.32 1 324.0
37 28 1.95 1 304.0
37 29 1.57 1 284.0
37 30 1.2 1 264.0
37 31 0.82 1 244.0
37 32 0.5 1 224.0
37 33 0.5 1 204.0
37 34 0.5 1 184.0
37 35 0.5 1 164.0
37 36 0.5 1 144.0
37 37 0.5 1 124.0
38 1 12.46 1 866.0
38 2 12.08 1 846.0
38 3 11.71 1 826.0
38 4 11.34 1 806.0
38 5 10.96 1 786.0
38 6 10.59 1 766.0
38 7 10.21 1 746.0
38 8 9.84 1 726.0
38 9 9.47 1 706.0
38 10 9.09 1 686.0
38 11 8.72 1 666.0
38 12 8.34 1 646.0
38 13 7.97 1 626.0
38 14 7.6 1 606.0
38 15 7.22 1 586.0
38 16 6.85 1 566.0
38 17 6.47 1 546.0
38 18 6.1 1 526.0
38 19 5.72 1 506.0
38 20 5.35 1 486.0
38 21 4.98 1 466.0
38 22 4.6 1 446.0
38 23 4.23 1 426.0
38 24 3.85 1 406.0
38 25 3.48 1 386.0
38 26 3.11 1 366.0
38 27 2.73 1 346.0
38 28 2.36 1 326.0
38 29 1.98 1 306.0
38 30 1.61 1 286.0
38 31 1.23 1 266.0
38 32 0.86 1 246.0
38 33 0.5 1 226.0
38 34 0.5 1 206.0
38 35 0.5 1 186.0
38 36 0.5 1 166.0
38 37 0.5 1 146.0
38 38 0.5 1 126.0
39 1 12.87 1 888.0
39 2 12.5 1 868.0
39 3 12.12 1 848.0
39 4 11.75 1 828.0
39 5 11.37 1 808.0
39 6 11.0 1 788.0
39 7 10.63 1 768.0
39 8 10.25 1 748.0
39 9 9.88 1 728.0
39 10 9.5 1 708.0
39 11 9.13 1 688.0
39 12 8.75 1 668.0
39 13 8.38 1 648.0
39 14 8.01 1 628.0
39 15 7.63 1 608.0
39 16 7.26 1 588.0
39 17 6.88 1 568.0
39 18 6.51 1 548.0
39 19 6.14 1 528.0
39 20 5.76 1 508.0
39 21 5.39 1 488.0
39 22 5.01 1 468.0
39 23 4.64 1 448.0
39 24 4.27 1 428.0
39 25 3.89 1 408.0
39 26 3.52 1 388.0
39 27 3.14 1 368.0
39 28 2.77 1 348.0
39 29 2.39 1 328.0
39 30 2.02 1 308.0
39 31 1.65 1 288.0
39 32 1.27 1 268.0
39 33 0.9 1 248.0
39 34 0.52 1 228.0
39 35 0.5 1 208.0
39 36 0.5 1 188.0
