initial_samples sample height tube remaining_vol
39 14 9.88 1 578.0
39 15 9.5 1 558.0
39 16 9.13 1 538.0
39 17 8.75 1 518.0
39 18 8.38 1 498.0
39 19 8.01 1 478.0
39 20 7.63 1 458.0
39 21 7.26 1 438.0
39 22 6.88 1 418.0
39 23 6.51 1 398.0
39 24 6.14 1 378.0
39 25 5.76 1 358.0
39 26 5.39 1 338.0
39 27 5.01 1 318.0
39 28 4.64 1 298.0
39 29 4.27 1 278.0
39 30 3.89 1 258.0
39 31 3.52 1 238.0
39 32 3.14 1 218.0
39 33 2.77 1 198.0
39 34 2.39 1 178.0
39 35 2.02 1 158.0
39 36 1.65 1 138.0
39 37 1.27 1 118.0
39 38 0.9 1 98.0
39 39 0.52 1 78.0
40 1 15.15 1 860.0
40 2 14.78 1 840.0
40 3 14.4 1 820.0
40 4 14.03 1 800.0
40 5 13.66 1 780.0
40 6 13.28 1 760.0
40 7 12.91 1 740.0
40 8 12.53 1 720.0
40 9 12.16 1 700.0
40 10 11.79 1 680.0
40 11 11.41 1 660.0
40 12 11.04 1 640.0
40 13 10.66 1 620.0
40 14 10.29 1 600.0
40 15 9.91 1 580.0
40 16 9.54 1 560.0
40 17 9.17 1 540.0
40 18 8.79 1 520.0
40 19 8.42 1 500.0
40 20 8.04 1 480.0
40 21 7.67 1 460.0
40 22 7.3 1 440.0
40 23 6.92 1 420.0
40 24 6.55 1 400.0
40 25 6.17 1 380.0
40 26 5.8 1 360.0
40 27 5.43 1 340.0
40 28 5.05 1 320.0
40 29 4.68 1 300.0
40 30 4.3 1 280.0
40 31 3.93 1 260.0
40 32 3.55 1 240.0
40 33 3.18 1 220.0
40 34 2.81 1 200.0
40 35 2.43 1 180.0
40 36 2.06 1 160.0
40 37 1.68 1 140.0
40 38 1.31 1 120.0
40 39 0.94 1 100.0
40 40 0.56 1 80.0
41 1 15.56 1 882.0
41 2 15.19 1 862.0
41 3 14.82 1 842.0
41 4 14.44 1 822.0
41 5 14.07 1 802.0
41 6 13.69 1 782.0
41 7 13.32 1 762.0
41 8 12.95 1 742.0
41 9 12.57 1 722.0
41 10 12.2 1 702.0
41 11 11.82 1 682.0
41 12 11.45 1 662.0
41 13 11.07 1 642.0
41 14 10.7 1 622.0
41 15 10.33 1 602.0
41 16 9.95 1 582.0
41 17 9.58 1 562.0
41 18 9.2 1 542.0
41 19 8.83 1 522.0
41 20 8.46 1 502.0
41 21 8.08 1 482.0
41 22 7.71 1 462.0
41 23 7.33 1 442.0
41 24 6.96 1 422.0
41 25 6.58 1 402.0
41 26 6.21 1 382.0
41 27 5.84 1 362.0
41 28 5.46 1 342.0
41 29 5.09 1 322.0
41 30 4.71 1 302.0
41 31 4.34 1 282.0
41 32 3.97 1 262.0
41 33 3.59 1 242.0
41 34 3.22 1 222.0
41 35 2.84 1 202.0
41 36 2.47 1 182.0
41 37 2.1 1 162.0
41 38 1.72 1 142.0
41 39 1.35 1 122.0
41 40 0.97 1 102.0
41 41 0.6 1 82.0
42 1 15.98 1 904.0
42 2 15.6 1 884.0
42 3 15.23 1 864.0
42 4 14.85 1 844.0
42 5 14.48 1 824.0
42 6 14.11 1 804.0
42 7 13.73 1 784.0
42 8 13.36 1 764.0
42 9 12.98 1 744.0
42 10 12.61 1 724.0
42 11 12.23 1 704.0
42 12 11.86 1 684.0
42 13 11.49 1 664.0
42 14 11.11 1 644.0
42 15 10.74 1 624.0
42 16 10.36 1 604.0
42 17 9.99 1 584.0
42 18 9.62 1 564.0
42 19 9.24 1 544.0
42 20 8.87 1 524.0
42 21 8.49 1 504.0
42 22 8.12 1 484.0
42 23 7.74 1 464.0
42 24 7.37 1 444.0
42 25 7.0 1 424.0
42 26 6.62 1 404.0
42 27 6.25 1 384.0
42 28 5.87 1 364.0
42 29 5.5 1 344.0
42 30 5.13 1 324.0
42 31 4.75 1 304.0
42 32 4.38 1 284.0
42 33 4.0 1 264.0
42 34 3.63 1 244.0
42 35 3.26 1 224.0
42 36 2.88 1 204.0
42 37 2.51 1 184.0
42 38 2.13 1 164.0
42 39 1.76 1 144.0
42 40 1.38 1 124.0
42 41 1.01 1 104.0
42 42 0.64 1 84.0
43 1 16.39 1 926.0
43 2 16.01 1 906.0
43 3 15.64 1 886.0
43 4 15.26 1 866.0
43 5 14.89 1 846.0
43 6 14.52 1 826.0
43 7 14.14 1 806.0
43 8 13.77 1 786.0
43 9 13.39 1 766.0
43 10 13.02 1 746.0
43 11 12.65 1 726.0
43 12 12.27 1 706.0
43 13 11.9 1 686.0
43 14 11.52 1 666.0
43 15 11.15 1 646.0
43 16 10.78 1 626.0
43 17 10.4 1 606.0
43 18 10.03 1 586.0
43 19 9.65 1 566.0
43 20 9.28 1 546.0
43 21 8.9 1 526.0
43 22 8.53 1 506.0
43 23 8.16 1 486.0
43 24 7.78 1 466.0
43 25 7.41 1 446.0
43 26 7.03 1 426.0
43 27 6.66 1 406.0
43 28 6.29 1 386.0
43 29 5.91 1 366.0
43 30 5.54 1 346.0
43 31 5.16 1 326.0
43 32 4.79 1 306.0
43 33 4.41 1 286.0
43 34 4.04 1 266.0
43 35 3.67 1 246.0
43 36 3.29 1 226.0
43 37 2.92 1 206.0
43 38 2.54 1 186.0
43 39 2.17 1 166.0
43 40 1.8 1 146.0
43 41 1.42 1 126.0
43 42 1.05 1 106.0
43 43 0.67 1 86.0
44 1 16.8 1 948.0
44 2 16.42 1 928.0
44 3 16.05 1 908.0
44 4 15.68 1 888.0
44 5 15.3 1 868.0
44 6 14.93 1 848.0
44 7 14.55 1 828.0
44 8 14.18 1 808.0
44 9 13.81 1 788.0
44 10 13.43 1 768.0
44 11 13.06 1 748.0
44 12 12.68 1 728.0
44 13 12.31 1 708.0
44 14 11.94 1 688.0
44 15 11.56 1 668.0
44 16 11.19 1 648.0
44 17 10.81 1 628.0
44 18 10.44 1 608.0
44 19 10.06 1 588.0
44 20 9.69 1 568.0
44 21 9.32 1 548.0
44 22 8.94 1 528.0
44 23 8.57 1 508.0
44 24 8.19 1 488.0
44 25 7.82 1 468.0
44 26 7.45 1 448.0
44 27 7.07 1 428.0
44 28 6.7 1 408.0
44 29 6.32 1 388.0
44 30 5.95 1 368.0
44 31 5.57 1 348.0
44 32 5.2 1 328.0
44 33 4.83 1 308.0
44 34 4.45 1 288.0
44 35 4.08 1 268.0
44 36 3.7 1 248.0
44 37 3.33 1 228.0
44 38 2.96 1 208.0
44 39 2.58 1 188.0
44 40 2.21 1 168.0
44 41 1.83 1 148.0
44 42 1.46 1 128.0
44 43 1.09 1 108.0
44 44 0.71 1 88.0
45 1 17.21 1 970.0
45 2 16.84 1 950.0
45 3 16.46 1 930.0
